"country","totAll","tot2020","tot2019","tot2018","tot2017","tot2016","tot2015","tot2014","tot2013","tot2012","tot2011"
"Tanzania",16196,2312,3142,3186,1415,788,799,774,837,1516,1427
"Sierra Leone",15939,713,1443,1527,2058,1535,1599,1740,1651,1688,1985
"Ireland",15594,1466,1760,1401,1485,1759,1607,1605,1626,1514,1371
"Togo",15544,1276,1546,1534,1572,1938,1547,1612,1257,1756,1506
"Ivory Coast",14962,1049,1589,1375,1810,1617,1497,1477,1486,1760,1302
"Georgia",14626,1179,1691,1643,1629,1635,1410,1240,1368,1341,1490
"Guinea",14061,858,1579,1282,1348,1501,1389,1375,1518,1656,1555
"Senegal",13983,999,1665,1420,1470,1533,1244,1273,1340,1615,1424
"Kazakhstan",13005,1307,1533,1378,1377,1310,1201,1221,1241,1202,1235
"Greece",12084,945,1350,1214,1314,1451,1211,1235,1361,1054,949
"United Arab Emirates",11603,1251,1586,1379,1314,1370,1193,1039,910,854,707
"Netherlands",11431,962,1274,998,1056,1319,1309,1195,1142,1091,1085
"Uruguay",11226,699,1109,960,1001,972,1078,1128,1352,1374,1553
"Gambia",10848,664,1378,1023,1134,1247,1142,1111,1018,1159,972
"Serbia",10822,1077,1532,1217,1410,1351,1278,1143,866,704,244
"Panama",10511,601,1059,897,889,1029,1052,1095,1234,1281,1374
"Kuwait",10488,768,1201,1090,1177,1186,1055,1057,937,1044,973
"Hungary",10009,761,1070,917,972,1048,1095,996,1052,1054,1044
"North Macedonia",9939,590,1079,1082,1027,1262,1060,960,895,906,1078
"Sweden",9909,835,1018,889,950,1144,1066,954,1106,968,979
"Rwanda",9903,1084,1509,1620,1394,1357,732,555,540,592,520
"Portugal",8752,679,940,889,939,1006,857,892,918,811,821
"Laos",8291,486,850,863,685,856,917,806,923,949,956
"Zimbabwe",8236,674,758,749,810,815,779,797,924,914,1016
"Azerbaijan",8039,814,1169,1015,881,784,676,672,637,663,728
"Fiji",8026,425,734,730,805,866,875,802,895,853,1041
"New Zealand",8003,607,844,719,798,846,855,796,921,814,803
"Singapore",7853,807,818,801,818,812,781,779,835,712,690
"Belize",7769,475,806,632,746,851,772,789,946,847,905
"Saint Lucia",7579,463,726,696,777,777,739,844,853,919,785
"Republic of the Congo",7560,308,476,580,632,625,496,552,1059,1461,1371
"Bosnia and Herzegovina",7555,477,637,682,846,971,859,693,697,815,878
"Lithuania",7474,475,750,658,645,735,750,747,854,924,936
"Kyrgyzstan",7284,594,881,908,715,847,790,707,652,648,542
"Bahamas",6972,614,922,759,725,656,725,654,630,619,668
"Mongolia",6844,543,765,636,661,750,644,651,729,691,774
"Switzerland",6308,592,595,570,565,743,640,656,697,635,615
"Belgium",6306,629,714,537,625,691,662,632,675,574,567
"Tajikistan",6273,523,1158,893,652,593,595,516,550,411,382
"Burundi",6163,1099,781,762,1094,415,351,273,260,535,593
"Mali",5826,389,586,488,544,598,587,604,667,734,629
"Grenada",5586,307,554,501,544,585,525,633,687,671,579
"Burkina Faso",5553,465,646,525,541,642,575,583,585,558,433
"Libya",5252,514,511,499,780,642,734,524,376,315,357
"Zambia",5114,401,511,477,537,487,460,441,505,643,652
"Benin",5069,450,619,573,648,577,466,517,342,415,462
"Tunisia",4797,463,510,517,535,518,518,429,445,422,440
"Denmark",4703,405,416,353,461,521,609,514,506,459,459
"Slovakia",4519,343,422,370,388,483,424,460,507,528,594
"Austria",4126,311,437,401,387,432,474,438,415,407,424
"Paraguay",4110,256,452,389,391,434,382,391,448,467,500
"Saint Vincent and the Grenadines",4078,196,403,333,361,422,415,448,529,503,468
"Finland",3983,317,497,442,439,489,407,350,331,348,363
"Latvia",3799,224,319,356,359,391,480,384,424,436,426
"Barbados",3729,226,338,318,373,371,376,384,428,460,455
"Croatia",3333,241,360,286,375,388,348,297,353,336,349
"Dominica",3328,287,511,492,510,298,229,345,244,125,287
"United States",3227,187,262,306,409,468,370,358,319,279,269
"Antigua and Barbuda",3192,190,323,325,322,324,290,369,344,337,368
"Norway",3044,248,329,284,290,362,310,271,335,276,339
"Montenegro",2962,303,376,299,323,387,251,289,265,265,204
"Mauritania",2955,134,230,212,287,317,298,320,354,410,393
"Tonga",2907,202,256,225,262,283,327,320,348,276,408
"Turkmenistan",2525,250,330,286,251,235,226,254,210,223,260
"Saint Kitts and Nevis",2487,106,238,250,238,250,222,263,259,311,350
"Qatar",2190,215,287,236,224,272,229,202,191,141,193
"Samoa",2129,154,195,179,194,219,207,239,237,238,267
"Central African Republic",1915,148,231,304,178,202,234,155,213,116,134
"Malawi",1906,197,213,257,228,205,160,172,159,192,123
"Estonia",1895,126,193,151,176,211,189,220,211,227,191
"Djibouti",1831,84,151,281,222,281,370,190,90,106,56
"Angola",1770,181,226,176,209,198,154,148,143,187,148
"Chad",1658,111,224,251,205,136,175,119,111,155,171
"Suriname",1616,117,172,182,136,156,134,158,178,187,196
"Gabon",1502,86,148,112,150,165,146,167,127,197,204
"Bahrain",1326,127,183,143,130,138,145,122,115,104,119
"Cyprus",1160,105,111,120,117,131,113,129,126,107,101
"Czech Republic",1065,69,,51,52,62,58,74,74,159,466
"South Sudan",1054,117,191,185,160,124,127,74,59,17,
"Macau",1032,64,99,91,109,109,99,105,106,120,130
"Oman",978,118,148,110,104,116,85,90,73,74,60
"Niger",975,139,201,93,116,119,55,71,37,48,96
"Iceland",945,81,70,89,86,97,104,86,139,103,90
"Slovenia",919,76,119,95,108,119,107,78,62,86,69
"Mauritius",874,68,95,67,96,110,96,81,83,77,101
"Bermuda",845,67,84,65,68,99,112,106,88,85,71
"Mozambique",839,60,77,100,96,101,107,71,73,94,60
"Madagascar",801,84,75,79,60,88,72,86,95,79,83
"Namibia",769,90,98,75,130,87,86,44,57,59,43
"Botswana",694,43,61,72,112,78,61,58,53,80,76
"Malta",542,44,47,58,75,65,58,39,43,62,51
"North Korea",507,28,29,41,32,47,55,142,48,49,36
"Cayman Islands",502,50,53,47,67,55,53,48,44,44,41
"Aruba",405,22,52,45,47,23,38,40,45,54,39
"British Virgin Islands",404,29,58,37,25,40,38,56,45,39,37
"Turks and Caicos Islands",395,33,56,41,35,39,38,40,50,30,33
"Guinea-Bissau",378,27,51,27,48,37,39,30,43,47,29
"Marshall Islands",334,12,22,23,23,32,32,56,46,50,38
"Luxembourg",295,20,42,30,33,34,27,26,40,19,24
"Curacao",258,31,53,56,34,35,22,27,,,
"Sint Maarten",252,21,37,27,35,42,45,45,,,
"Brunei",229,11,23,29,24,31,21,25,21,19,25
"Eswatini",214,25,32,18,19,20,19,23,15,24,19
"Papua New Guinea",208,19,24,27,18,23,11,18,27,21,20
"Equatorial Guinea",203,27,30,17,20,18,25,15,18,20,13
"Anguilla",203,11,14,23,23,20,22,20,22,23,25
"Montserrat",191,12,24,20,12,14,14,38,,27,30
"Lesotho",189,14,22,12,24,19,23,13,20,17,25
"French Polynesia",186,15,25,10,20,27,14,24,,30,21
"Palau",116,8,14,7,13,14,15,12,16,10,7
"Micronesia",109,15,21,19,6,11,6,5,4,13,9
"Monaco",90,8,7,13,14,11,10,8,8,5,6
"Seychelles",88,4,6,6,10,16,11,7,6,7,15
"Sao Tome and Principe",85,4,12,9,10,12,6,5,6,12,9
"Comoros",65,4,10,8,4,4,5,9,3,10,8
"Maldives",64,4,8,4,5,11,8,13,5,3,3
