,YEAR,MO,DY,HR,MN,Hs,Ta,BUOY
92,2021,1,2,22,0,1.41,1.96,155_imperial_beach
93,2021,1,2,22,30,1.53,3.09,155_imperial_beach
94,2021,1,2,23,0,1.69,4.03,155_imperial_beach
95,2021,1,2,23,30,1.51,3.22,155_imperial_beach
96,2021,1,3,0,0,1.66,3.83,155_imperial_beach
97,2021,1,3,0,30,1.72,4.84,155_imperial_beach
98,2021,1,3,1,0,1.52,3.26,155_imperial_beach
99,2021,1,3,1,30,1.64,3.82,155_imperial_beach
100,2021,1,3,2,0,1.73,4.32,155_imperial_beach
101,2021,1,3,2,30,1.46,2.68,155_imperial_beach
102,2021,1,3,3,0,1.45,2.94,155_imperial_beach
103,2021,1,3,3,30,1.57,3.74,155_imperial_beach
104,2021,1,3,4,0,1.63,3.71,155_imperial_beach
105,2021,1,3,4,30,1.54,3.25,155_imperial_beach
106,2021,1,3,5,0,1.55,3.52,155_imperial_beach
107,2021,1,3,5,30,1.51,2.92,155_imperial_beach
108,2021,1,3,6,0,1.55,2.75,155_imperial_beach
109,2021,1,3,6,30,1.53,2.78,155_imperial_beach
110,2021,1,3,7,0,1.72,3.28,155_imperial_beach
111,2021,1,3,7,30,1.46,2.69,155_imperial_beach
112,2021,1,3,8,0,1.74,3.63,155_imperial_beach
113,2021,1,3,8,30,1.6,3.58,155_imperial_beach
114,2021,1,3,9,0,1.61,3.33,155_imperial_beach
115,2021,1,3,9,30,1.58,3.51,155_imperial_beach
116,2021,1,3,10,0,1.62,3.79,155_imperial_beach
117,2021,1,3,10,30,1.68,3.63,155_imperial_beach
118,2021,1,3,11,0,1.67,3.74,155_imperial_beach
119,2021,1,3,11,30,1.8,4.24,155_imperial_beach
120,2021,1,3,12,0,1.61,3.79,155_imperial_beach
121,2021,1,3,12,30,1.61,4.04,155_imperial_beach
122,2021,1,3,13,0,1.68,3.63,155_imperial_beach
123,2021,1,3,13,30,2.04,5.25,155_imperial_beach
124,2021,1,3,14,0,1.61,3.48,155_imperial_beach
125,2021,1,3,14,30,2.17,4.94,155_imperial_beach
126,2021,1,3,15,0,1.91,4.23,155_imperial_beach
127,2021,1,3,15,30,1.93,4.24,155_imperial_beach
128,2021,1,3,16,0,1.86,4.26,155_imperial_beach
129,2021,1,3,16,30,1.97,4.22,155_imperial_beach
130,2021,1,3,17,0,1.88,3.89,155_imperial_beach
131,2021,1,3,17,30,2.19,4.39,155_imperial_beach
132,2021,1,3,18,0,2.42,4.75,155_imperial_beach
133,2021,1,3,18,30,2.18,4.41,155_imperial_beach
134,2021,1,3,19,0,2.08,4.34,155_imperial_beach
135,2021,1,3,19,30,1.96,3.59,155_imperial_beach
136,2021,1,3,20,0,2.09,3.79,155_imperial_beach
137,2021,1,3,20,30,1.76,2.96,155_imperial_beach
138,2021,1,3,21,0,1.91,3.32,155_imperial_beach
139,2021,1,3,21,30,1.86,3.02,155_imperial_beach
140,2021,1,3,22,0,1.77,2.82,155_imperial_beach
141,2021,1,3,22,30,2.08,3.3,155_imperial_beach
142,2021,1,3,23,0,1.69,2.03,155_imperial_beach
143,2021,1,3,23,30,1.97,3.07,155_imperial_beach
144,2021,1,4,0,0,1.8,2.01,155_imperial_beach
145,2021,1,4,0,30,1.96,2.57,155_imperial_beach
146,2021,1,4,1,0,1.87,2.42,155_imperial_beach
147,2021,1,4,1,30,1.76,1.72,155_imperial_beach
148,2021,1,4,2,0,1.98,2.91,155_imperial_beach
